id_place,coordonates,longitude,latitude,adress,id_city_name
I010040007,"45.96033, 5.35613",5.35613,45.96033,1 avenue de verdun,0
I010040012,"45.95939, 5.34018",5.34018,45.95939,435 Avenue de Mering,0
I010070003,"46.00574, 5.34821",5.34821,46.00574,Route de la gare,1
I010100005,"45.9105, 5.8138",5.8138,45.9105,118 rue du stade,2
I010140003,"46.27616584043702, 5.671198368072511",5.671198368072511,46.27616584043702,1 allee de l'embouteillou,3
I010140011,"46.27916, 5.67888",5.67888,46.27916,Av. Général ANDREA LETRAT,3
I010220001,"45.8738, 5.6866",5.6866,45.8738,Rue des Glières,4
I010250001,"46.31690300126088, 4.944794476032258",4.944794476032258,46.31690300126088,Route de Charlemagne,5
I010270001,"45.83444, 5.09361",5.09361,45.83444,Rue Centrale,6
I010270004,"45.83325116097398, 5.105153024196626",5.105153024196626,45.83325116097398,Rue du Stade,6
I010310005,"46.23888, 5.62083",5.62083,46.23888,111 Route de Groissiat,7
I010330017,"46.122325349616865, 5.814066231250764",5.814066231250764,46.12232534961687,21 Avenue du Stade,8
I010330019,"46.11444, 5.81638",5.81638,46.11444,5 rue Antoine Jacquet,8
I010340006,"45.7635, 5.6909",5.6909,45.7635,Chemin des Soupirs,9
I010430005,"45.83667, 5.01139",5.01139,45.83667,RN 84 Pré Mayeux,10
I010430006,"45.82342, 4.99409",4.99409,45.82342,Les Petites Combes,10
I010490004,"45.840438, 5.041648",5.041648,45.840438,Les Gravelles - Route de Gravelles,11
I010490006,"45.84694, 5.0375",5.0375,45.84694,270 Chemin du Grand Casset,11
I010530002,"46.20444, 5.23278",5.23278,46.20444,42 Rue Charles Robin,12
I010530009,"46.20667, 5.24667",5.24667,46.20667,48 Rue des Dîmes Bourg-en-Bresse,12
I010530014,"46.18736, 5.23547",5.23547,46.18736,Route de Seillon Les Vennes,12
I010530015,"46.20667, 5.26444",5.26444,46.20667,Chemin de la Chagne,12
I010530033,"46.21783, 5.22419",5.22419,46.21783,12 rue Barthelemy Thimonnie CENORD,12
I010530048,"46.21302, 5.22388",5.22388,46.21302,Rue Auguste Perrodin,12
I010530056,"46.22749, 5.235141",5.235141,46.22749,avenue de Marboz,12
I010650004,"46.20277, 5.15611",5.15611,46.20277,Chemin du Petit Corgenon,13
I010690001,"46.151222982765624, 5.255485475063325",5.255485475063325,46.15122298276562,Chemin des Buclanes,14
I010710001,"46.31583, 6.07",6.07,46.31583,Place du Vidolet,15
I010740004,"45.99247, 5.17079",5.17079,45.99247,"207, RUE DU STADE",16
I010780002,"46.1828, 5.9733",5.9733,46.1828,Rue de la Craz,17
I010930004,"46.12861, 4.96556",4.96556,46.12861,Avenue Charles De Gaulle,18
I010930010,"46.12806, 4.96028",4.96028,46.12806,Avenue François Mitterrand,18
I010930011,"46.12333, 4.95111",4.95111,46.12333,86 avenue des sports,18
I010980003,"45.79555, 5.68138",5.68138,45.79555,Rue du stade - Les Chandelles,19
I011080003,"46.37937499299676, 5.347318947315217",5.347318947315217,46.37937499299676,Route du Suran,20
I011120002,"46.1075, 5.55111",5.55111,46.1075,Le Village,21
I011170002,"45.73706191673933, 5.600090324878693",5.600090324878693,45.73706191673933,Crapeou,22
I011390001,"46.47410417674035, 5.147942304611207",5.147942304611207,46.47410417674035,La Varna,23
I011420010,"45.85256331218735, 5.086900591850282",5.086900591850282,45.85256331218735,Chemin de Marigneux,24
I011430009,"46.34555, 6.14388",6.14388,46.34555,Allée St Exupéry,25
I011430010,"46.34308, 6.14638",6.14638,46.34308,9 avenue du crêt d'eau,25
I011440001,"46.33622, 4.99057",4.99057,46.33622,La Ville,5
I011440002,"46.33805, 4.98681",4.98681,46.33805,CD 58,5
I011510006,"46.06222, 5.315",5.315,46.06222,La Dime,26
I011530010,"46.311737255566776, 6.047775149345399",6.047775149345399,46.311737255566776,547 route de mury,27
I011570001,"46.02111, 4.76528",4.76528,46.02111,Chemin du Stade,28
I011570004,"46.007852320006975, 4.771057343139539",4.771057343139539,46.007852320006975,Chemin des Granges,28
I011590008,"46.3325, 4.87889",4.87889,46.3325,Route des Dimes,29
I011600003,"46.26224123956778, 6.118631064891816",6.118631064891816,46.26224123956778,Avenue des Sports,30
I011600004,"46.26222, 6.11694",6.11694,46.26222,Avenue des Sports,30
I011630002,"46.37306, 5.17611",5.17611,46.37306,Le Bourg,31
I011630005,"46.37236453854643, 5.175311565399171",5.175311565399171,46.37236453854643,196 rue du stade,31
I011730002,"46.3369028439248, 6.058667600154878",6.058667600154878,46.3369028439248,Rue de paris,32
I011730003,"46.33472, 6.06555",6.06555,46.33472,Place du Turet,32
I011790002,"46.25167, 4.85306",4.85306,46.25167,Rue du Stade,33
I011840007,"46.1575, 5.41889",5.41889,46.1575,HAUTECOURT,34
I011850002,"45.97285635929359, 5.594967305660248",5.594967305660248,45.97285635929359,11 route des lesines,35
I011920001,"46.21861, 5.55889",5.55889,46.21861,Rue du Stade,36
I011950002,"46.21333, 5.31528",5.31528,46.21333,Allée des Sports,37
I011950009,,,,Allée des Sports,37
I011960002,"46.36997413734267, 5.114658772945405",5.114658772945405,46.36997413734267,Loëze,38
I012240003,"45.77972, 5.21139",5.21139,45.77972,Rue du stade,39
I012290005,"46.33694, 5.14083",5.14083,46.33694,Le Moulin Neuf - ROUTE D'ETREZ,40
I012310001,"46.36611, 4.89139",4.89139,46.36611,La Chassagne,41
I012370002,"46.21, 5.60472",5.60472,46.21,Route de Groissiat,42
I012460002,"46.22611, 5.04806",5.04806,46.22611,chemin du stade,43
I012490012,"45.82944, 4.96722",4.96722,45.82944,Avenue de St Maurice,44
I012500001,"45.97028, 4.81361",4.81361,45.97028,Picou,45
I031260001,"46.08636, 3.44798",3.44798,46.08636,1 place de la mairie,46
I031280001,"46.36738, 2.48096",2.48096,46.36738,rue de la République,47
I031380001,"46.2456, 3.62848",3.62848,46.2456,allée des sports,48
I031550007,"46.732416, 2.939063",2.939063,46.732416,7 rue des Ecoles,49
I031560004,"46.59116, 3.49243",3.49243,46.59116,Rue des Soeurs,50
I031650001,"46.06839, 3.65961",3.65961,46.06839,route de Vichy La Boulaire,51
I031650002,"46.060427357010795, 3.669913709163666",3.669913709163666,46.0604273570108,Lac des Moines,51
I031850040,"46.33145, 2.60514",2.60514,46.33145,rue des Faucheroux,52
I031850043,"46.34881629529905, 2.592636644840241",2.592636644840241,46.34881629529905,151 Avenue de la République,52
I031850044,"46.33053, 2.58834",2.58834,46.33053,rue Aristide Briand,52
I031860003,"46.3187, 2.94589",2.94589,46.3187,route de Montluçon,53
I031900009,"46.5665, 3.3228",3.3228,46.5665,Rue Félix MATHE,54
I032040003,"46.29538, 3.36554",3.36554,46.29538,Moulin du Pré,55
I032350001,"46.25945, 3.51589",3.51589,46.25945,5 chemin de Gondailly,56
I032360004,"46.20894, 3.4394",3.4394,46.20894,allée des sports La Prat,57
I032360005,"46.20595, 3.42283",3.42283,46.20595,allée du stade,57
I130270004,"43.88114, 4.866579",4.866579,43.88114,AV PIERRE DE COUBERTIN,58
I130280014,"43.1795, 5.6128",5.6128,43.1795,NOUVEAU PORT DE PLAISANCE,59
I130310003,"43.3807, 5.5998",5.5998,43.3807,CHEMIN DU GRAND PRE,60
I130320003,"43.5732, 5.34558",5.34558,43.5732,chemin des grappons,61
I130330003,"43.35597, 5.191663",5.191663,43.35597,Avenue de la Côte Bleue,62
I130350004,"43.68712, 5.03183",5.03183,43.68712,QUARTIER MAS DE BARREAU,63
I130370003,"43.5498, 5.1899",5.1899,43.5498,AV MARECHAL FOCH,64
I130370004,"43.5553, 5.19512",5.19512,43.5553,QUARTIER STE ROSALIE,64
I130390001,"43.4359, 4.9476",4.9476,43.4359,CHEMIN DE LA ROQUETTE,65
I130390002,"43.4446, 4.9435",4.9435,43.4446,BOULEVARD DE LA MEGLE,65
I130390026,"43.44448, 4.94069",4.94069,43.44448,210 chemin du mazet,65
I130400001,"43.45284, 5.55505",5.55505,43.45284,CHEMIN SAINT FRANCOIS,66
I130410008,"43.45999, 5.46067",5.46067,43.45999,QUARTIER FONTVENELLE,67
I130410009,"43.44372, 5.46964",5.46964,43.44372,RUE CHARLES PAURIOL,67
I130420011,"43.287865, 5.619745",5.619745,43.287865,244 Avenue Cesar Baldaccini,68
I130430006,"43.39231, 5.24041",5.24041,43.39231,AVENUE JEAN  JAURES,69
I130470017,"43.50139, 4.9952",4.9952,43.50139,LES HEURES CLAIRES,70
I130470019,"43.49737, 4.98478",4.98478,43.49737,ALLEE ANDRE LIORENS,70
I130470049,"43.52486, 4.95468",4.95468,43.52486,RESIDENCE LA BAYANNE BP20015,70
I130480004,"43.63545, 5.63684",5.63684,43.63545,QUARTIER FERRAGE,71
I130500003,"43.649447, 5.267167",5.267167,43.649447,Avenue Léo Lagrange,72
I130510001,"43.59214, 5.12057",5.12057,43.59214,AV FRANCOIS MITTERRAND,73
I130540014,"43.41022505839483, 5.20465287142708",5.20465287142708,43.41022505839483,Avenue du General de Gaulle,74
